spend,install,retention_d3,retention_d1,retention_d2,retention_d7,return_d1,return_d2,return_d3,return_d7,dau_d1,mau_d1,arpdau_d1,act_sess_d1,dau_d2,mau_d2,arpdau_d2,act_sess_d2,dau_d3,mau_d3,arpdau_d3,act_sess_d3,dau_d7,mau_d7,arpdau_d7,act_sess_d7,cpi_d1,cpi_d2,cpi_d3,cpi_d7,cpc_d1,cpc_d2,cpc_d3,cpc_d7,roas
-0.9978529801324504,-0.991236611489776,-0.0835661080074489,0.2689877627028463,-0.3381883479648844,-0.49487895716946007,-0.9954717626325064,-0.9939921912924122,-0.9939921912924122,-0.9909468132677486,-0.9964754071643542,-0.9928638542042156,-0.7550660792951542,-0.998182911278082,-0.9960538467388824,-0.9927503944499272,-0.8431718061674008,-0.9978062447308086,-0.9954584469627006,-0.9924785637886104,-0.8396475770925109,-0.9973101849016796,-0.9839111680917872,-0.9846793875537012,-0.7790748898678415,-0.9905509845901788,-0.9175833557629592,-0.9190610417959204,-0.9150289196409044,-0.9083271493289706,-0.8085332475041722,-0.9180713912236662,-0.9510495150204338,-0.7201400449996016,0
-0.9948079470198676,-0.9806143223864744,-0.5010864345518262,0.17148024531151496,-0.22336929427117705,-0.7051235172069972,-0.9960911326750952,-0.9939514499494244,-0.9939514499494244,-0.9909545550196444,-0.9472180271406686,-0.8573893619661629,-0.9162995594713657,-0.9724494225023984,-0.9389650039657099,-0.85698634346395,-0.9295154185022028,-0.9667647617275976,-0.93809580721216,-0.8558434728139792,-0.9074889867841408,-0.964370733856584,-0.954984300133639,-0.8620695768305726,-0.9167400881057268,-0.9768300005276412,-0.9435402713393533,-0.9398692587648872,-0.9396787955373062,-0.9429732301451464,-0.9502077037115394,-0.9520249934397796,-0.95291424080887,-0.9538536022069508,0
-0.9934960264900662,-0.972647605558998,-0.4270255350917708,-0.01617849889596801,-0.34550826600530193,-0.6096242178454608,-0.9984508724565804,-0.9984508724565804,-0.9983357624699,-0.9972658164887956,-0.9670530970566824,-0.9403083505197284,-0.9881057268722468,-0.9283956123354058,-0.9646193461467422,-0.9400483385828168,-0.9823788546255506,-0.918865717605618,-0.9644889666337096,-0.9400128824096016,-0.9834801762114538,-0.9234126759462208,-0.9675615771575092,-0.9416036827145248,-0.9797356828193832,-0.9303952572366772,-0.9386686036353644,-0.9360343651263648,-0.93585428363309,-0.938114927152652,-0.9238781370129752,-0.920141783751172,-0.9098848319696552,-0.9294924412698168,0
-0.9927807947019868,-0.9794635744002832,-0.5800384481009997,-0.06258840349645367,-0.4908832039292704,-0.5590607435900046,-0.9971556086152844,-0.9971556086152844,-0.996347148524464,-0.9957904597703898,-0.6755810037049512,-0.6795151959249038,-0.9332599118942732,-0.7033038431927149,-0.6737339606036572,-0.6776218362752109,-0.9488986784140968,-0.6831687439172012,-0.7023305337954563,-0.6788060724605993,-0.9559471365638766,-0.7140030218054498,-0.6877758341572594,-0.6842462313042553,-0.9711453744493392,-0.7229921805103177,-0.9818608374036732,-0.9680102028256079,-0.978180877007381,-0.9932575225368144,-0.9793970238426482,-0.9822376284716547,-0.9727823070877892,-0.9743067371146568,0
-0.9804225165562914,-0.9765424448968753,-0.5050127520038862,0.0082341510808841,-0.3547941462229778,-0.6301949234879766,-0.9876025259034834,-0.9876025259034834,-0.9858717810453218,-0.981869086078716,-0.9816077966948792,-0.9657741559953434,-0.9447136563876652,-0.9892415098859564,-0.9802083899216636,-0.9655696920631356,-0.9469162995594712,-0.987071633273136,-0.9801779680352892,-0.9651714010506846,-0.9288546255506608,-0.9873450824025471,-0.9824248416432164,-0.9655141440584316,-0.9425110132158592,-0.9891067110193452,-0.7837559597217414,-0.7868616241355226,-0.7410116125014938,-0.8168538565034733,-0.967562721405434,-0.9622293057616316,-0.9686387099393516,-0.9743968409434812,0
-0.9781006622516556,-0.9699920332831724,-0.33734086269875363,0.2578762892135797,-0.16431262086377285,-0.5865015309411259,-0.9967798197935374,-0.9939474744552078,-0.9931215281680206,-0.9893110617977126,-0.9927465530916242,-0.9853506910999096,-0.8090308370044053,-0.9887100172118896,-0.9844500700789882,-0.9828262115669856,-0.8938325991189427,-0.9820332367788308,-0.9776355675311552,-0.9792368649651644,-0.8843612334801763,-0.9761968309941881,-0.9804908788665674,-0.9722980918669448,-0.8138766519823788,-0.9785662099295926,-0.8676762287227532,-0.9356390095444584,-0.9264671523927458,-0.9283783567450552,-0.8458740243307531,-0.8883666991660754,-0.8274136427545906,-0.8021647514251824,0
-0.9962483443708608,-0.9899088253518632,-0.3435726368269937,0.1955585479311801,-0.14856774021233474,-0.6303445436132564,-0.9988592423963444,-0.9983202490751744,-0.9980927192858696,-0.9943256844426058,-0.988009430784776,-0.9747315672219498,-0.8658590308370044,-0.99172566042779,-0.987522680602788,-0.9747055660282584,-0.8674008810572688,-0.9920283801682368,-0.9880528906224536,-0.9745708325700408,-0.8438325991189427,-0.99273087483309,-0.9858755527548104,-0.9730320346525,-0.8740088105726872,-0.990664215638132,-0.8988427789861051,-0.9004544185374418,-0.8900812568783928,-0.8720019767368775,-0.9336308709805884,-0.9236267524001244,-0.933582827081127,-0.9376226428589663,0
-0.9987913907284768,-0.9930069930069928,-0.32349860335195524,0.3116168255011498,-0.012997727023770778,-0.39406698433563336,-0.9981928539146364,-0.9960937630772836,-0.995631978038533,-0.9939703410196874,-0.9838329403839676,-0.9734362350271536,-0.9651982378854626,-0.9879636166304828,-0.9843544584360976,-0.9736619726632904,-0.9671806167400882,-0.9883595401587006,-0.9839155140755548,-0.9736596089184094,-0.9779735682819384,-0.9878388313939628,-0.9851019676441508,-0.9736040609137055,-0.9724669603524227,-0.9889526551717897,-0.9437173012738596,-0.9296723386699316,-0.9285808036295992,-0.9336489471775008,-0.9675001752900808,-0.9660194454905506,-0.9729308725923108,-0.9697768602522304,0
-0.9971470198675496,-0.9890236345932548,-0.3537813454828153,0.1680135958489266,-0.12083717524542993,-0.7358097846721268,-0.9983008797499684,-0.997195004866244,-0.9954729582698648,-0.9939795474273472,-0.9854061865078934,-0.9680528060606421,-0.8577092511013216,-0.9886430029182028,-0.9852758069948608,-0.9685101906951182,-0.8920704845814977,-0.9896389739726495,-0.9849542041960472,-0.9687737482493516,-0.9037444933920704,-0.9890350750502318,-0.9872749595280258,-0.9698823445985476,-0.8431718061674008,-0.9902128320047944,-0.9346795197782296,-0.9379746480178692,-0.9233259985318344,-0.9244411810603388,-0.9313828744536716,-0.923582207635812,-0.9137485764559348,-0.9223087141319152,0
-0.9932218543046356,-0.9717624148003896,-0.3777690487274983,0.19349879733085013,-0.2720844972067039,-0.7119607386716325,-0.9937257733980251,-0.9911876146317318,-0.990101587328157,-0.9866542659145312,-0.9620725996588404,-0.9263847112981096,-0.9574889867841412,-0.9416844697455498,-0.9631677875683134,-0.9270288317781862,-0.944273127753304,-0.9435285182407901,-0.963784917263334,-0.927142291532475,-0.9491189427312776,-0.9432943533525056,-0.9652799356794404,-0.926189702345426,-0.9394273127753304,-0.9468838546005504,-0.94177707291845,-0.9426224322676556,-0.9442075224014086,-0.9432931473496636,-0.9520548566523818,-0.9496403732593456,-0.9538368587782622,-0.9637274614165896,0
