spend,install,retention_d1,retention_d2,retention_d3,retention_d7,return_d1,return_d2,return_d3,return_d7,dau_d1,mau_d1,arpdau_d1,act_sess_d1,dau_d2,mau_d2,arpdau_d2,act_sess_d2,dau_d3,mau_d3,arpdau_d3,act_sess_d3,dau_d7,mau_d7,arpdau_d7,act_sess_d7,cpi_d1,cpi_d2,cpi_d3,cpi_d7,cpc_d1,cpc_d2,cpc_d3,cpc_d7,roas
-0.9835668874172184,-0.9887580773656724,-0.06982153168634375,-0.3623419712159476,-0.480067255357586,-0.6354407268135555,-0.7523002366261181,-0.5729051908521623,-0.4410203434406934,-0.1884867922988066,-0.07171959712730469,0.08697848924166607,-0.9092511013215859,0.7365475545367328,-0.07546148915133799,0.0871947727929474,-0.9044052863436124,0.7223721057239065,-0.07816469105487889,0.08923469306350285,-0.910352422907489,0.6692844606562549,-0.07967274742228836,0.09459096112037237,-0.9101321585903084,0.7080526146936157,-0.6520298109748828,-0.7238695911234942,-0.6494088061424403,-0.6830860756321789,-0.9430502775031592,-0.9370263329635752,-0.9306777584144128,-0.9358774725781231,2
-0.9817688741721854,-0.9464459591041868,0.2306972699483507,-0.3125461157373246,-0.4474807631495731,-0.6104537788552756,-0.5971483914346365,-0.4728213242760774,-0.4194375105793108,-0.3085071152235721,-0.9531720249024872,-0.9145668153665326,-0.9317180616740088,-0.9738297628964964,-0.9532241767077,-0.9133010247467384,-0.932819383259912,-0.971715346388796,-0.9616162713632264,-0.9129630078305282,-0.9110132158590308,-0.9771358013850392,-0.9619422201458078,-0.9143186211273572,-0.9330396475770926,-0.977982338267357,-0.8969563616536436,-0.896420028800792,-0.9144005695514912,-0.9204850881181508,-0.9694380089788776,-0.9677069348589592,-0.9658430984580978,-0.9577331728746196,0
-0.9973907284768212,-0.9968133132690096,0.2870882296282025,-0.03422575786763804,-0.2526470639743611,-0.4385759443792577,-0.9514039694924852,-0.9063150320506386,-0.8640922948220077,-0.6489043071027829,-0.9843066526146524,-0.9865762372926028,-0.958590308370044,-0.9657210333604086,-0.9817859820293572,-0.9847679649786112,-0.8491189427312775,-0.9615183898390924,-0.9803822292723736,-0.98279895734782,-0.8314977973568282,-0.9582886089950898,-0.9715772661589108,-0.9737954158524024,-0.8784140969162996,-0.9320113030775352,-0.7415954099944367,-0.739338588480873,-0.7321792386158966,-0.7485938295612946,-0.8658310647568018,-0.8816117361571411,-0.9217816389616276,-0.8972874753123933,2
-0.9367430463576158,-0.9473311498627954,-0.17033302012343132,-0.4171745663809995,-0.4909309280762818,-0.6265995641873118,-0.9055673810054248,-0.8768734373832563,-0.8629312865545194,-0.824176784167567,-0.05121959169482504,0.09397874866374001,-0.8889867841409692,0.693059899609507,-0.07902084985712576,0.09532845257392196,-0.8949339207048458,0.6588171360940911,-0.07632199393735263,0.09186909763074967,-0.8766519823788547,0.723757838072669,-0.07083736242245131,0.09207238053140744,-0.8680616740088105,0.6955879560678939,-0.6781379907752854,-0.7127838266219939,-0.7084966444303845,-0.6923436699559427,-0.937757622792646,-0.944185734721684,-0.9449993085520793,-0.9300392484004566,1
-0.8798013245033113,-0.8386297247056741,0.07434793660277372,-0.26964529416605776,-0.4214364819179359,-0.6919554303866291,-0.7108259019874007,-0.6090300247367295,-0.5398561817101157,-0.3394669778579845,-0.6496441725790154,-0.3666780323869845,-0.8742290748898678,-0.4658321461404581,-0.6423516118167298,-0.3598916927615332,-0.8953744493392071,-0.46046792152857297,-0.6527037451515119,-0.3498528267255556,-0.8911894273127754,-0.46154939357841296,-0.6552157237692717,-0.3052594132097247,-0.8788546255506609,-0.4479994115066624,-0.8421699452939724,-0.8335236031804241,-0.8276117824301454,-0.8635555743736413,-0.9293169835886396,-0.932659262191865,-0.933376105618718,-0.9359603626389104,1
-0.9857569536423839,-0.9721164911038328,0.011456662426019282,-0.3854461402306968,-0.503859131078557,-0.7867346092151115,-0.7207910824559149,-0.5625733803917135,-0.4673549951518226,-0.2772198696827535,-0.9660274448874934,-0.9035162623365832,-0.7403083700440529,-0.947141898145206,-0.9668836036897402,-0.9030482389141384,-0.7444933920704846,-0.9495105068013728,-0.9656928041373766,-0.9019538205071082,-0.7729074889867842,-0.9478698120249062,-0.9687827985962472,-0.8984105522735478,-0.7502202643171806,-0.9504564097053644,-0.8789145556448879,-0.8757624601985396,-0.8750673789882332,-0.8918388790325399,-0.7981402308815356,-0.8120215059588838,-0.8161369606350841,-0.8638731399302494,2
-0.9677761589403974,-0.9614056829246702,-0.03533684418777716,-0.3305387811242899,-0.457747510527853,-0.6519593111439795,-0.8620902005722461,-0.8032435433183509,-0.7615119979833999,-0.6474249639501655,-0.9127717597974772,-0.8540842430341627,-0.8746696035242291,-0.8387728527407113,-0.9089994458870696,-0.852365793397206,-0.8711453744493391,-0.8337390779218328,-0.9089299101467856,-0.8502880530521095,-0.8579295154185023,-0.8342790436675152,-0.9069220656460848,-0.8468357893729136,-0.863215859030837,-0.8295395155174679,-0.7101228453335096,-0.7136239671353735,-0.7044576329528107,-0.6778638088019998,-0.9444416530463094,-0.9459390345638932,-0.9462364700777736,-0.9329655649701322,1
-0.9995271523178808,-0.9955740462069576,-0.1885365747206703,-0.0535745460893855,-0.4584606319832402,-0.32349860335195524,-0.2484357587391537,-0.13062281471359793,0.0015034146864798534,0.1393549582363669,-0.996740512174187,-0.9893040101688726,-0.8636563876651983,-0.9954938664589994,-0.9965666728234772,-0.9894269254111308,-0.8726872246696036,-0.9958127620634394,-0.9962146481382892,-0.9894635636083424,-0.8977973568281938,-0.9946442484597304,-0.9967274742228838,-0.9899611339640224,-0.8387665198237886,-0.9956286653256106,-0.9465498003248404,-0.9406556644550256,-0.9408490188414104,-0.9629855464163128,-0.9604555731536959,-0.9626824783047372,-0.9555149295190808,-0.9650327021822438,0
-0.9789364238410596,-0.9383907232008498,-0.1014460090303818,-0.4548369939542358,-0.6409983163694803,-0.8413583837147012,-0.6344782314247256,-0.4643074463181557,-0.4036559159019745,-0.25263847057183497,-0.962007409902324,-0.8647648684600079,-0.9145374449339208,-0.9514431374089578,-0.9618987603081304,-0.8647660503373373,-0.8854625550660793,-0.9510418219260756,-0.9634937363508947,-0.8653049863995467,-0.8803964757709251,-0.9533210781906604,-0.9683916600571496,-0.871969592660069,-0.9039647577092512,-0.961603120555248,-0.9225013290190888,-0.9222161424450536,-0.9221950722868558,-0.921337907548506,-0.9381163632422584,-0.9404444393376452,-0.940398573499346,-0.9403363335578347,1
-0.9959059668874172,-0.9946003363724882,0.12063176037085445,-0.3694431237370737,-0.3081837632235825,-0.6451102460477831,-0.8518970027995403,-0.8387018629048193,-0.8387018629048193,-0.774251468064015,-0.9975184432686144,-0.9964732780490516,-0.8259911894273128,-0.9919760011800678,-0.9973750258042786,-0.99637636410804,-0.6755506607929516,-0.9954592038932992,-0.9973663338367432,-0.9962912689403228,-0.9378854625550659,-0.9970791011303464,-0.9968404698008452,-0.9958078811125955,-0.7977973568281939,-0.9882147276619984,-0.7834241276732425,-0.7906836360500521,-0.7891052811537492,-0.7948096271095411,-0.9617757141756659,-0.9659691566812804,-0.963150561997516,-0.941109082683499,0
-0.9344337748344372,-0.8147295742232451,0.08062951938143281,-0.2468105659400589,-0.4019700834943607,-0.6612826565104009,-0.5634834388884735,-0.4136429424320066,-0.32737931565587164,-0.13257103002369766,-0.7585719097339172,-0.4350543634024594,-0.91431718061674,-0.6542817319420551,-0.7613967991829551,-0.4382028846079977,-0.9129955947136564,-0.6573505244253621,-0.7540912004693663,-0.4376804948284003,-0.9200440528634362,-0.65773951544044,-0.7711622247090907,-0.4295810894899785,-0.8903083700440528,-0.6635666778742295,-0.8957455546867891,-0.8957637100777578,-0.8974067921618601,-0.8949225828479367,-0.9257389236989554,-0.9196060050283836,-0.928001956376526,-0.9201940723511512,1
-0.984482119205298,-0.9871647340001768,0.05696578212290504,-0.206959962756052,-0.3612022811918062,-0.5565758845437617,-0.8132961964188196,-0.7147657736553817,-0.6813998771421022,-0.4946779101982506,-0.9364182574778084,-0.8922541532646702,-0.7881057268722467,-0.8585397585405673,-0.9371266528319516,-0.8917483097676843,-0.7955947136563877,-0.8615815912505522,-0.9378958919588436,-0.8915426631123675,-0.8099118942731278,-0.8627293073148412,-0.9397038212062278,-0.8933024784558536,-0.8019823788546255,-0.8677191762171663,-0.6411865600281541,-0.6420071389030042,-0.6413504399671914,-0.6675208194738946,-0.91948262212693,-0.9205336294841684,-0.918364008135746,-0.9242203958388284,2
